"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00115922","42.07917","-87.94722","204.2","1995-08-12","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-13","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-14","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-15","0.72",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-16","1.38",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-17","0.09",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-18","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-19","0.21",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-20","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-21","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-22","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-23","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-24","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-25","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-26","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-27","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-28","0.14",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-29","0.01",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-30","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-08-31","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-01","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-02","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-03","0.00",,,,,
"USC00115922","42.07917","-87.94722","204.2","1995-09-04","0.00",,,,,
