ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7871284,HT101911,01/01/2011 09:00:00 PM,021XX S KEDZIE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA BUS STOP,false,false,1022,010,24,30,03,1155350,1889747,2011,02/04/2016 06:33:39 AM,41.853268942,-87.705298,"(41.853268942, -87.705298)"
7872672,HT101362,01/01/2011 09:24:00 PM,003XX N CENTRAL AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,true,false,1512,015,29,25,03,1138977,1901868,2011,02/04/2016 06:33:39 AM,41.886843497,-87.765098817,"(41.886843497, -87.765098817)"
7870650,HT101597,01/02/2011 03:15:00 AM,063XX S KEDZIE AVE,0820,THEFT,$500 AND UNDER,CTA BUS STOP,false,false,0823,008,15,66,06,1156138,1862630,2011,02/04/2016 06:33:39 AM,41.778840516,-87.703135682,"(41.778840516, -87.703135682)"
7870682,HT101623,01/02/2011 04:50:00 AM,047XX S DAN RYAN XPRS IB,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0935,009,3,37,06,1175558,1873650,2011,02/04/2016 06:33:39 AM,41.808667909,-87.631610721,"(41.808667909, -87.631610721)"
7871721,HT101624,01/02/2011 05:09:00 AM,001XX W 35TH ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0924,009,11,34,06,1175739,1881773,2011,02/04/2016 06:33:39 AM,41.830954079,-87.630703226,"(41.830954079, -87.630703226)"
7871107,HT101962,01/02/2011 01:08:00 PM,075XX N PAULINA AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,CTA PLATFORM,true,false,2422,024,49,1,26,1163690,1950023,2011,02/04/2016 06:33:39 AM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
7882492,HT102039,01/02/2011 01:30:00 PM,047XX S STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,false,false,0231,002,3,38,08B,1177068,1873704,2011,02/04/2016 06:33:39 AM,41.808782124,-87.626070778,"(41.808782124, -87.626070778)"
7871496,HT102304,01/02/2011 06:15:00 PM,010XX W 95TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS,false,false,2223,022,21,73,14,1171240,1841813,2011,02/04/2016 06:33:39 AM,41.721398883,-87.648378015,"(41.721398883, -87.648378015)"
7872146,HT102954,01/02/2011 06:50:00 PM,015XX N CLYBOURN AVE,0810,THEFT,OVER $500,CTA PLATFORM,false,false,1822,018,27,8,06,1170965,1910314,2011,02/04/2016 06:33:39 AM,41.909378501,-87.647382412,"(41.909378501, -87.647382412)"
7871581,HT102522,01/02/2011 10:00:00 PM,004XX E 35TH ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,true,false,0212,002,4,35,08A,1179661,1881883,2011,02/04/2016 06:33:39 AM,41.831166999,-87.616309948,"(41.831166999, -87.616309948)"
7871633,HT102616,01/02/2011 11:45:00 PM,016XX N DAMEN AVE,0870,THEFT,POCKET-PICKING,CTA PLATFORM,false,false,1434,014,32,24,06,1162771,1910740,2011,02/04/2016 06:33:39 AM,41.910723346,-87.677471499,"(41.910723346, -87.677471499)"
7879594,HT102846,01/03/2011 08:37:00 AM,0000X W 69TH ST,0460,BATTERY,SIMPLE,CTA PLATFORM,false,false,0731,007,6,69,08B,1177279,1859276,2011,02/04/2016 06:33:39 AM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
7872313,HT102966,01/03/2011 10:45:00 AM,048XX N BROADWAY,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,2033,020,48,3,06,1167446,1932134,2011,02/04/2016 06:33:39 AM,41.969330114,-87.659679691,"(41.969330114, -87.659679691)"
7872253,HT103057,01/03/2011 11:30:00 AM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1114,011,28,26,11,1149512,1901446,2011,02/04/2016 06:33:39 AM,41.885487535,-87.726422045,"(41.885487535, -87.726422045)"
7872423,HT103103,01/03/2011 12:00:00 PM,015XX N SEDGWICK ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,1821,018,43,8,06,1173364,1910604,2011,02/04/2016 06:33:39 AM,41.910121292,-87.638560993,"(41.910121292, -87.638560993)"
7872926,HT103894,01/03/2011 12:30:00 PM,0000X W 79TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,false,false,0623,006,6,44,11,1177483,1852629,2011,02/04/2016 06:33:39 AM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
7875946,HT106448,01/03/2011 01:30:00 PM,017XX W LAWRENCE AVE,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,2032,020,47,3,06,1164256,1931937,2011,02/04/2016 06:33:39 AM,41.968857767,-87.671414885,"(41.968857767, -87.671414885)"
7872955,HT103687,01/03/2011 04:00:00 PM,009XX W BELMONT AVE,0810,THEFT,OVER $500,CTA TRAIN,false,false,1932,019,44,6,06,1169269,1921430,2011,02/04/2016 06:33:39 AM,41.93991842,-87.653288878,"(41.93991842, -87.653288878)"
7893103,HT123200,01/03/2011 04:00:00 PM,019XX N CLARK ST,0560,ASSAULT,SIMPLE,CTA BUS,false,true,1814,018,43,7,08A,1174208,1913221,2011,02/04/2016 06:33:39 AM,41.917283658,-87.635382269,"(41.917283658, -87.635382269)"
7911279,HT104125,01/03/2011 04:15:00 PM,002XX W 63RD ST,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,CTA PLATFORM,false,false,0711,007,20,68,03,1175827,1863196,2011,02/04/2016 06:33:39 AM,41.779975054,-87.630937377,"(41.779975054, -87.630937377)"
7875929,HT105934,01/03/2011 05:00:00 PM,005XX W 103RD ST,0460,BATTERY,SIMPLE,CTA BUS,false,false,2232,022,9,73,08B,1174700,1836596,2011,02/04/2016 06:33:39 AM,41.707006454,-87.635859522,"(41.707006454, -87.635859522)"
7873148,HT104122,01/03/2011 07:15:00 PM,046XX N BROADWAY,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,2311,019,46,3,03,1167990,1930845,2011,02/04/2016 06:33:39 AM,41.965781301,-87.657716788,"(41.965781301, -87.657716788)"
7873792,HT104602,01/03/2011 08:00:00 PM,063XX S DR MARTIN LUTHER KING JR DR,0870,THEFT,POCKET-PICKING,CTA BUS STOP,false,false,0312,003,20,69,06,1180005,1863280,2011,02/04/2016 06:33:39 AM,41.780110888,-87.615617777,"(41.780110888, -87.615617777)"
7873630,HT104075,01/03/2011 09:00:00 PM,001XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0123,001,42,32,03,1176400,1899863,2011,02/04/2016 06:33:39 AM,41.880579428,-87.627732563,"(41.880579428, -87.627732563)"
7873303,HT104318,01/04/2011 02:00:00 AM,046XX N BROADWAY,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,2311,019,46,3,03,1167961,1930904,2011,02/04/2016 06:33:39 AM,41.965943826,-87.657821704,"(41.965943826, -87.657821704)"
