"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00111577","41.7372","-87.7775","189.0","2001-01-01","0.00",,"26","13","13",
"USC00111577","41.7372","-87.7775","189.0","2001-01-02","0.00",,"21","7","7",
"USC00111577","41.7372","-87.7775","189.0","2001-01-03","0.00",,"28","7","28",
"USC00111577","41.7372","-87.7775","189.0","2001-01-04","0.00",,"32","23","32",
"USC00111577","41.7372","-87.7775","189.0","2001-01-05","0.00",,"37","24","24",
"USC00111577","41.7372","-87.7775","189.0","2001-01-06","0.00",,"36","20","30",
"USC00111577","41.7372","-87.7775","189.0","2001-01-07","0.00",,"35","23","23",
"USC00111577","41.7372","-87.7775","189.0","2001-01-08","0.00",,"29","17","19",
"USC00111577","41.7372","-87.7775","189.0","2001-01-09","0.00",,"25","12","21",
"USC00111577","41.7372","-87.7775","189.0","2001-01-10","0.00",,"35","20","29",
"USC00111577","41.7372","-87.7775","189.0","2001-01-11","0.00",,"40","24","29",
"USC00111577","41.7372","-87.7775","189.0","2001-01-12","0.00",,"37","28","34",
"USC00111577","41.7372","-87.7775","189.0","2001-01-13","0.00",,"38","34","34",
"USC00111577","41.7372","-87.7775","189.0","2001-01-14","0.25",,"38","33","36",
"USC00111577","41.7372","-87.7775","189.0","2001-01-15","0.01",,"36","32","32",
"USC00111577","41.7372","-87.7775","189.0","2001-01-16","0.00",,"32","27","27",
"USC00111577","41.7372","-87.7775","189.0","2001-01-17","0.00",,"28","20","21",
"USC00111577","41.7372","-87.7775","189.0","2001-01-18","0.00",,"32","19","28",
"USC00111577","41.7372","-87.7775","189.0","2001-01-19","0.00",,"29","19","20",
"USC00111577","41.7372","-87.7775","189.0","2001-01-20","0.00",,"26","14","14",
"USC00111577","41.7372","-87.7775","189.0","2001-01-21","0.00",,"28","12","18",
"USC00111577","41.7372","-87.7775","189.0","2001-01-22","0.00",,"30","13","29",
"USC00111577","41.7372","-87.7775","189.0","2001-01-23","0.00",,"37","23","23",
"USC00111577","41.7372","-87.7775","189.0","2001-01-24","0.00",,"29","19","22",
"USC00111577","41.7372","-87.7775","189.0","2001-01-25","0.00",,"27","15","23",
"USC00111577","41.7372","-87.7775","189.0","2001-01-26","0.11",,"32","23","27",
"USC00111577","41.7372","-87.7775","189.0","2001-01-27","0.00",,"27","17","17",
"USC00111577","41.7372","-87.7775","189.0","2001-01-28","0.08",,"30","15","30",
"USC00111577","41.7372","-87.7775","189.0","2001-01-29","0.65",,"43","30","40",
"USC00111577","41.7372","-87.7775","189.0","2001-01-30","0.14",,"40","33","34",
"USC00111577","41.7372","-87.7775","189.0","2001-01-31","0.00",,"36","29","29",
"USC00111577","41.7372","-87.7775","189.0","2001-02-01","0.01",,"34","6","6",
"USC00111577","41.7372","-87.7775","189.0","2001-02-02","0.00",,"14","0","11",
"USC00111577","41.7372","-87.7775","189.0","2001-02-03","0.01",,"32","11","32",
"USC00111577","41.7372","-87.7775","189.0","2001-02-04","0.03",,"36","32","33",
"USC00111577","41.7372","-87.7775","189.0","2001-02-05","0.06",,"33","28","32",
"USC00111577","41.7372","-87.7775","189.0","2001-02-06","0.08",,"39","25","25",
"USC00111577","41.7372","-87.7775","189.0","2001-02-07","0.00",,"37","21","37",
"USC00111577","41.7372","-87.7775","189.0","2001-02-08","0.81",,"53","35","53",
"USC00111577","41.7372","-87.7775","189.0","2001-02-09","0.62",,"54","22","22",
"USC00111577","41.7372","-87.7775","189.0","2001-02-10","0.00",,"22","14","14",
"USC00111577","41.7372","-87.7775","189.0","2001-02-11","0.00",,"28","13","26",
"USC00111577","41.7372","-87.7775","189.0","2001-02-12","0.00",,"39","25","36",
"USC00111577","41.7372","-87.7775","189.0","2001-02-13","0.04",,"40","33","38",
"USC00111577","41.7372","-87.7775","189.0","2001-02-14","0.18",,"38","31","31",
"USC00111577","41.7372","-87.7775","189.0","2001-02-15","0.00",,"34","29","32",
"USC00111577","41.7372","-87.7775","189.0","2001-02-16","0.00",,"33","16","16",
"USC00111577","41.7372","-87.7775","189.0","2001-02-17","0.00",,"22","8","13",
"USC00111577","41.7372","-87.7775","189.0","2001-02-18","0.00",,"29","9","28",
"USC00111577","41.7372","-87.7775","189.0","2001-02-19","0.00",,"45","28","36",
"USC00111577","41.7372","-87.7775","189.0","2001-02-20","0.00",,"40","19","19",
"USC00111577","41.7372","-87.7775","189.0","2001-02-21","0.00",,"24","11","21",
"USC00111577","41.7372","-87.7775","189.0","2001-02-22","0.02",,"29","21","28",
"USC00111577","41.7372","-87.7775","189.0","2001-02-23","0.00",,"30","18","30",
"USC00111577","41.7372","-87.7775","189.0","2001-02-24","1.36",,"57","30","57",
"USC00111577","41.7372","-87.7775","189.0","2001-02-25","0.01",,"57","29","29",
"USC00111577","41.7372","-87.7775","189.0","2001-02-26","0.00",,"41","23","32",
"USC00111577","41.7372","-87.7775","189.0","2001-02-27","0.00",,"32","19","19",
"USC00111577","41.7372","-87.7775","189.0","2001-02-28","0.00",,"29","13","22",
"USC00111577","41.7372","-87.7775","189.0","2001-03-01","0.00",,"42","21","33",
"USC00111577","41.7372","-87.7775","189.0","2001-03-02","0.00",,"42","31","32",
"USC00111577","41.7372","-87.7775","189.0","2001-03-03","0.00",,"49","27","34",
"USC00111577","41.7372","-87.7775","189.0","2001-03-04","0.00",,"35","25","25",
"USC00111577","41.7372","-87.7775","189.0","2001-03-05","0.00",,"30","19","26",
"USC00111577","41.7372","-87.7775","189.0","2001-03-06","0.00",,"35","22","29",
"USC00111577","41.7372","-87.7775","189.0","2001-03-07","0.00",,"46","23","31",
"USC00111577","41.7372","-87.7775","189.0","2001-03-08","0.00",,"37","28","28",
"USC00111577","41.7372","-87.7775","189.0","2001-03-09","0.00",,"39","24","30",
"USC00111577","41.7372","-87.7775","189.0","2001-03-10","0.06",,"50","25","40",
"USC00111577","41.7372","-87.7775","189.0","2001-03-11","0.10",,"41","30","32",
"USC00111577","41.7372","-87.7775","189.0","2001-03-12","0.16",,"50","32","36",
"USC00111577","41.7372","-87.7775","189.0","2001-03-13","0.00",,"43","32","37",
"USC00111577","41.7372","-87.7775","189.0","2001-03-14","0.07",,"51","31","46",
"USC00111577","41.7372","-87.7775","189.0","2001-03-15","0.44",,"47","37","37",
"USC00111577","41.7372","-87.7775","189.0","2001-03-16","0.63",,"37","32","32",
"USC00111577","41.7372","-87.7775","189.0","2001-03-17","0.06",,"38","29","29",
"USC00111577","41.7372","-87.7775","189.0","2001-03-18","0.00",,"46","24","34",
"USC00111577","41.7372","-87.7775","189.0","2001-03-19","0.00",,"46","30","36",
"USC00111577","41.7372","-87.7775","189.0","2001-03-20","0.00",,"50","33","38",
"USC00111577","41.7372","-87.7775","189.0","2001-03-21","0.00",,"54","31","39",
"USC00111577","41.7372","-87.7775","189.0","2001-03-22","0.00",,"57","31","46",
"USC00111577","41.7372","-87.7775","189.0","2001-03-23","0.00",,"51","35","37",
"USC00111577","41.7372","-87.7775","189.0","2001-03-24","0.00",,"37","23","23",
