"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1INPT0059","41.6276","-87.1843","189.0","2007-09-28","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-01","0.31",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-02","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-03","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-04","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-05","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-09","0.04",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-11","0.26",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-18","0.80",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-19","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-20","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-22","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-23","0.48",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-24","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-25","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-26","0.03",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-27","0.56",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-28","0.03",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-10-29","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-01","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-02","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-04","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-05","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-07","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-11-08","0.00",,,,
"US1INPT0059","41.6276","-87.1843","189.0","2007-12-05",,,,,
"US1INPT0059","41.6276","-87.1843","189.0","2008-04-16","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-17","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-18","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-19","1.53",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-20","2.24",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-21","0.01",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-22","0.02",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-23","0.61",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-24","2.18",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-25","0.08",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-26","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-27","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-29","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-30","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-08-31","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-01","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-02","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-03","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-04","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-05","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-06","0.00",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-07","0.51",,,,
"US1ILCK0027","42.0355","-88.1651","246.0","2007-09-08","0.17",,,,
